"Column0","ÝLAN ADI","MAHALLE","FÝYAT","NET(m²)","BRÜT(m²)","ODA-SALON SAYISI","ODA SAYISI","SALON SAYISI","BANYO SAYISI","FOTOÐRAF SAYISI","BÝNA KAT SAYISI","BULUNDUÐU KAT","YAPI DURUMU","ISITMA","BÝNA YAÞI","AÝDAT","KÝRA GETÝRÝSÝ","Metrekare Baþýna Fiyat"
24,"Kadýköy Caddebostan'da  Kiracýlý Satýlýk Daire","Caddebostan",6.942008053022313,105,135,"3+1",3,1,2,,,,,,,,,0.06611436240973631
25,"BOSTANCI GÖSTERÝ MERKEZÝNE KOMÞU 175M2 4+1 SATILIK YATIRIMLIK..","Bostancý",6.720159303405956,145,175,"4+1",4,1,2,9,"7","2","Ýkinci El","Merkezi Sistem","26-30 ",0,8,0.04634592623038591
26,"KADIKÖY OSMANAÐA'DA YÜKSEK YATIRIM DEÐERLÝ ÜST KAT 1+1 SATILIK F","Osmanaða",6.477121254719662,65,75,"1+1",1,1,1,8,"5","5","Ýkinci El","Kombi (Doðalgaz)","40 ",,,0.09964801930337941
27,"GÖZTEPEDE YEÞÝLLÝKLER ÝÇÝNDE SATILIK DAÝRE","Göztepe",6.770852011642144,90,105,"3+1",3,1,1,,,"Bahçe katý","Ýkinci El","Merkezi Sistem","40 ",,,0.07523168901824605
28,"MODA SAHÝLE 1 DAKÝKA 220m2 ÝSKANLI BALKONLU 1.KAT SATILIK 4+1","Caferaða",6.806179973983887,200,220,"4+1",4,1,2,31,"4","1","Ýkinci El","Merkezi Sistem","31-35 ",500,20,0.03403089986991943
29,"Göztepe Marmaray Ýstasyonu Yakýn 3+1 Sýfýr Daire","Göztepe",7,117,145,"3+1",3,1,2,4,"8","7","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.05982905982905983
30,"Kadýköy Caferaða Mahallesinde Yatýrým Ýçin 1+1 Satýlýk Daire","Caferaða",6.511883360978874,50,60,"1+1",1,1,1,4,"6","Yüksek Giriþ",,"Kombi (Doðalgaz)"," 36-40",,,0.1302376672195775
31,"ERENKÖY MÝNÝBÜS CADDE ÜZERÝ 12 YILLIK YENÝ 100M2 KOMBÝLÝ","Erenköy",6.685741738602263,80,100,"2+1",2,1,1,25,"7","3","Ýkinci El","Kombi (Doðalgaz)","11-15 ",,,0.08357177173252829
32,"FENERBAHÇE'DE SIFIR 3 BALKONLU 4 BANYOLU 9.KAT 250m2 SATILIK 4+1","Fenerbahçe",7.3979400086720375,200,250,"4+1",4,1,4,31,"9","9","Sýfýr","Kombi (Doðalgaz)","0",500,60,0.03698970004336019
33,"PRESTÝJLÝ SOKAKTA BAHÇE KULLANIMLI GENÝÞ SATILIK DAÝRE","Caferaða",6.484299839346785,110,130,"3+1",3,1,2,10,"5","Bahçe katý",,"Merkezi Sistem","31-35 ",750,0,0.05894818035769805
34,"Baðdat Caddesi Erenköy Merkezde Yatýrýmlýk Sýfýr 4+1 Daire!!","Erenköy",7.251638220448211,147,178,"4+1",4,1,2,36,"10-20 ","3","Sýfýr","Merkezi Sistem","0",,,0.04933087224794701
