"Column0","ÝLAN ADI","MAHALLE","FÝYAT","NET(m²)","BRÜT(m²)","ODA-SALON SAYISI","ODA SAYISI","SALON SAYISI","BANYO SAYISI","FOTOÐRAF SAYISI","BÝNA KAT SAYISI","BULUNDUÐU KAT","YAPI DURUMU","ISITMA","BÝNA YAÞI","AÝDAT","KÝRA GETÝRÝSÝ","Metrekare Baþýna Fiyat"
244,"HASIRCIBAÞINDA GÝRÝÞ KAT 2+1 DAÝRE","Osmanaða",6.5854607295085,76,85,"2+1",2,1,1,5,"5","Bahçe katý",,"Kombi (Doðalgaz)","31-35 ",0,0,0.08665079907248026
245,"ETHEM EFENDÝ CADDESÝ'NDE 3+1 ARA KAT SATILIK DAÝRE","Erenköy",6.730378468587642,105,120,"3+1",3,1,1,24,"3","1","Ýkinci El","Merkezi Sistem","31-35 ",550,,0.06409884255797754
246,"Kozzy Yakýný 3+1 Satýlýk Daire","Kozyataðý",6.769377326076138,97,128,"3+1",3,1,2,42,"10-20 ","4",,"Merkezi Sistem","3",0,0,0.069787395114187
247,"Çiftehavuzlar Baðdat Caddesi Balkonlu 4+1 Daire","Göztepe",7.1760912590556805,152,200,"4+1",4,1,2,8,"10-20 ","3","Ýkinci El","Merkezi Sistem","2",0,0,0.04721112670431369
248,"Kuyubaþý Eðitim Mahallesi'nde Mükemmel Konumda 3+1","Eðitim",6.612783856719735,101,118,"3+1",3,1,1,30,"8","5","Ýkinci El","Merkezi Sistem","31-35 ",,8.5,0.0654731074922746
249,"CADDEBOSTAN SAHÝLDE DÝNAMÝK'TEN 300m2 DENÝZ MANZARALI +TERASLI","Caddebostan",7.210853365314893,240,300,"4+2",4,2,4,29,"10-20 ","12",,"Klima","0",0,0,0.030045222355478723
250,"Fenerbahçe Ordu Evi Dalyan Sahil Kapalý Otoparklý Katta Tek","Fenerbahçe",6.963787827345554,110,140,"3+1",3,1,1,27,"10","7","Ýkinci El","Merkezi Sistem","21-25 ",0,0,0.06330716206677776
251,"Göztepe 3+1 satýlýk Marmaray yaný ebeveynli 4 yýllýk güney cephe","Göztepe",6.822821645303104,100,128,"3+1",3,1,2,36,"10-20 ","3",,"Klima","4",400,0,0.06822821645303104
252,"SUADÝYE BAÐDATA ÇOK YAKIN 225M2 3 BALKONLU HAVUZLU LÜKS","Suadiye",7.16879202031418,175,225,"4+1",4,1,3,24,"10","2","Ýkinci El","Merkezi Sistem","26-30 ",,,0.04096452583036674
253,"Kadýköy Kadife Sokakta, Yüksek Kira Getirili, Satýlýk 2+1!","Caferaða",6.567614442730844,90,110,"2+1",2,1,1,22,"4","Giriþ Katý",,"Kombi (Doðalgaz)","26-30 ",0,0,0.07297349380812049
254,"Fenerbahçe de muhteþem Deniz Manzaralý içi Komple Yenilenmiþ","Fenerbahçe",7.749736315569061,310,450,"4+2",4,2,4,29,"4","4",,"Klima","6-10 ",0,0,0.024999149405061486
255,"SUADÝYEDE SIFIR BÝNA BAÐDAT CAD. YÜRÜME MESAFESÝNDE 3+1 SATILIK","19 Mayýs",6.845098040014256,90,120,"3+1",3,1,2,31,"10-20 ","1",,"Merkezi Sistem","0",0,0,0.07605664488904729
256,"Dinamik'ten Göztepe Turkuaz Park Rezidans'ta Deniz Manzaralý 3+1","Göztepe",6.977723605288847,105,140,"3+1",3,1,2,28,"20 ","16",,"Klima","1",550,0,0.06645451052656044
257,"SUADÝYE ÞAÞKINBAKKAL DA SATILIK 3+1 DAÝRE 168 M2","Suadiye",6.954242509439323,168,190,"3+1",3,1,1,33,"6","4",,"Merkezi Sistem","31-35 ",260,0,0.04139430065142454
258,"Acýbadem de tüm ulaþým imkanlarýna yakýn satýlýk geniþ 3+1","Acýbadem",6.633468455579586,110,130,"3+1",3,1,1,20,"4","4",,"Merkezi Sistem","31-35 ",0,0,0.06030425868708715
259,"Kadýköy Suadiye'de Satýlýk Bahçe Katý Daire","Suadiye",6.465382851448418,80,95,"3+1",3,1,1,5,"4","Bahçe katý",,"Merkezi Sistem",,,,0.08081728564310522
260,"ÞENESENEVLERDE YEMYEÞÝL BÝR SOKAKTA YENÝ BÝNADA 90m2 2+1 DAÝRE","Bostancý",6.690196080028513,90,110,"2+1",2,1,1,4,"9","4","Ýkinci El","Kombi (Doðalgaz)","6-10 ",190,0,0.07433551200031681
261,"CADDEBOSTAN SAHÝLDE YENÝ BÝTECEK PROJEDE KATTA TEK 200 m 4+1","Caddebostan",7.204119982655924,165,200,"4+1",4,1,2,4,"10-20 ","3","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.04366133322821772
262,"Fenerbahçe Kalamýþ Wyndham Otel Yakýn Balkonlu 3+1 Satýlýk","Fenerbahçe",6.944482672150168,100,135,"3+1",3,1,2,18,"10","4","Ýkinci El","Kombi (Doðalgaz)","6-10 ",0,0,0.06944482672150168
263,"SULTAN SOKAKTA GENÝÞ 4+1 SATILIKTIR","19 Mayýs",6.788875115775416,140,180,"4+1",4,1,2,17,"7","5","Ýkinci El","Kombi (Doðalgaz)","26-30 ",1,10,0.04849196511268154
264,"Fenerbaheç Dalyan Yüzme Havuzlu Lebiderya Manzaralý Dubleks","Fenerbahçe",7.477121254719661,220,280,"4+1",4,1,3,2,"10-20 ","16","Sýfýr","Merkezi Sistem","0",0,0,0.03398691479418028
265,"KALAMIÞ CADDE ÜZERÝ 105M2 BALKONLU KOMBÝLÝ ASANSÖR OTOPARKLI LUX","Fenerbahçe",6.7989957344438805,80,105,"2+1",2,1,1,16,"3","2","Ýkinci El","Kombi (Doðalgaz)","31-35 ",,,0.0849874466805485
266,"GÖZTEPE BAÐDATA YÜRÜME MESAFESÝNDE 155M2  2 BALKONLU OTOPARKLI","Göztepe",6.64295887940979,140,155,"3+1",3,1,1,15,"4","Giriþ Katý","Ýkinci El","Merkezi Sistem","40 ",,,0.0474497062814985
267,"Kalamýþ Deniz ve Marina Manzaralý Teraslý Sýfýr Dubleks","Fenerbahçe",7.204119982655924,200,240,"5+2",5,2,3,15,"9","9","Sýfýr","Kombi (Doðalgaz)","3",0,0,0.03602059991327962
268,"SUADÝYE ÇATALÇEÞME BAÐDAT YAKIN 150M2 2 BALKONLU ASANSÖRLÜ LÜKS","Bostancý",6.902818468082253,125,150,"3+1",3,1,2,14,"3","2","Ýkinci El","Merkezi Sistem","26-30 ",,,0.05522254774465802
269,"CADDEBOSTAN'DA BAÐDATA 2.PARALELDE ÝNÞATTAN 2+1 DAÝRE","Caddebostan",6.8808135922807905,79,106,"2+1",2,1,2,,"10-20 ","6","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.08709890623140241
270,"Erenköy'de 4 Yýllýk Binada 95 m2 2+1 Mükemmel Satýlýk Daire","Erenköy",6.711807229041191,75,95,"2+1",2,1,1,22,"7","1",,"Kombi (Doðalgaz)","4",0,0,0.08949076305388254
271,"DÝNAMÝK'TEN MERDÝVENKÖY'DE SIFIR METROYA YAKIN 2+1 SATILIK DAÝRE","Merdivenköy",6.544068044350275,65,85,"2+1",2,1,2,11,"10-20 ","1","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.10067796991308114
272,"Kadýköy'de Yatýrýmlýk, Ýçi Yapýlý, Satýlýk 2+1Daire!","Caferaða",6.59659709562646,90,110,"2+1",2,1,1,27,"4","Giriþ Katý",,"Kombi (Doðalgaz)","26-30 ",0,0,0.07329552328473844
273,"FENERBAHÇE DENÝZ MANZARALI 4 BALKONLU GENÝÞ DAÝRE","Fenerbahçe",6.929418925714292,140,180,"3+1",3,1,2,30,"10-20 ","12","Ýkinci El","Merkezi Sistem","31-35 ",750,0,0.0494958494693878
274,"KADIKÖY BOSTANCI Caddede Satýlýk BÜYÜK 4+1 Daire Konuta/Ýþyerine","Bostancý",6.959041392321093,180,215,"4+1",4,1,2,4,"10-20 ","Yüksek Giriþ","Ýkinci El","Merkezi Sistem","6-10 ",,18,0.03866134106845052
275,"CADDEBOSTAN'DA 3 YILLIK YENÝ 75M2 ÝÞYERÝNE KONUTA LÜKS","Caddebostan",6.6897526961391565,60,75,"1+1",1,1,1,,"3","1","Ýkinci El","Kombi (Doðalgaz)","3",,,0.11149587826898594
276,"Dinamik'ten Caddebostan Sahil'de Sýfýr Lüks 4+2 Dublex","Caddebostan",7.332438459915605,230,300,"4+2",4,2,4,31,"10-20 ","12",,"Klima","0",0,0,0.03188016721702437
277,"DÝNAMÝK'TEN GÖZTEPE'DE 3+1 ÞÖMÝNELÝ 150m2 ÇÝFT BALKONLU SATILIK","Göztepe",6.822821645303104,120,150,"3+1",3,1,2,21,"6","6","Ýkinci El","Merkezi Sistem","26-30 ",,,0.056856847044192534
278,"DÝNAMÝK'TEN ERENKÖY'DE 3+1 165m2 ÇÝFT BALKONLU SATILIK DAÝRE","Erenköy",6.86893817833291,130,165,"3+1",3,1,2,23,"8","2","Ýkinci El","Merkezi Sistem","26-30 ",,,0.052837985987176234
279,"Suadiye'de 130 m2 3+1 Sýfýr Satýlýk Daire","Suadiye",6.961421094066448,110,130,"3+1",3,1,2,25,"10","4","Sýfýr","Kombi (Doðalgaz)","4",0,0,0.06328564630969498
280,"Moda Mühürdar caddesinde denize yakýn 4 yýllýk satýlýk daire","Caferaða",6.845098040014256,120,140,"3+1",3,1,2,14,"7","Kot 1","Ýkinci El","Kombi (Doðalgaz)","4",150,15,0.057042483666785465
281,"Bostancý Emin Ali Paþa Cd. Kat Mülkiyetli Ýçi Yapýlý 190m2 3+1","Bostancý",6.797959643737196,145,190,"3+1",3,1,1,34,"9","2","Ýkinci El","Kombi (Doðalgaz)","26-30 ",500,18,0.04688248030163583
282,"BOSTANCI DEPREM SONRASI 2002 YAPIMI175 M²  3+1 LÜKS DAÝRE","Bostancý",6.8095597146352675,155,175,"3+1",3,1,2,29,"10-20 ","6","Ýkinci El","Kombi (Doðalgaz)","16-20 ",300,,0.04393264332022753
283,"TURYAP TAN KADIKÖY DE DENÝZ MANZARALI 2+1 FIRSAT SATILIK DAÝRE","Caferaða",6.4698220159781625,75,100,"2+1",2,1,1,31,"4","4","Ýkinci El","Kombi (Doðalgaz)","31-35 ",50,0,0.0862642935463755
284,"TURYAP GÖZTEPE DEN ACIBADEM DE 3+1 SATILIK DAÝRE","Acýbadem",6.740362689494243,105,140,"3+1",3,1,2,31,"4","1","Ýkinci El","Merkezi Sistem","31-35 ",0,0,0.06419393037613565
285,"FENER KALAMIÞ CADDESÝ BÜYÜK FENERBAHÇE AP.DENÝZ MANZARALI DAÝRE","Fenerbahçe",7.197280558125619,121,155,"3+1",3,1,2,36,"10-20 ","8","Ýkinci El","Klima","26-30 ",1.75,30,0.059481657505170406
286,"GÖZTEPE MARMARAYA YAKIN 125M2 BALKONLU EBEVEYN BANYOLU LÜKS","Göztepe",6.869231719730975,95,125,"3+1",3,1,2,21,"7","3","Sýfýr","Kombi (Doðalgaz)","0",,,0.07230770231295763
287,"C.BOSTAN'DA 220M2 GENÇ BÝNADA 50M2 SALONLU BALKONLU ULTRA LÜKS","Caddebostan",7.070037866607755,170,220,"4+1",4,1,2,25,"7","1","Ýkinci El","Kombi (Doðalgaz)","21-25 ",,,0.041588458038869146
288,"SUADÝYE EMÝNALÝPAÞA'DA 7 YILLIK ÝSKANLI 2.KAT 140m2 SATILIK 3+1","Suadiye",6.860338006570993,120,140,"3+1",3,1,2,31,"7","2","Ýkinci El","Kombi (Doðalgaz)","6-10 ",300,23,0.05716948338809161
289,"WEN CADDEDEN FENERBAHÇEDE 2 BALKONLU SIFIR YENÝ BÝNA SATILIK 3+1","Fenerbahçe",6.877946951629188,110,145,"3+1",3,1,2,30,"10-20 ","8",,"Klima","0",0,0,0.06252679046935625
290,"KW SÝNAN'DAN KALAMIÞ SAHÝL PARSELÝNDE MANZARALI SATILIK DAÝRE","Fenerbahçe",7.322219294733918,277,340,"6+1",6,1,3,16,"3","3","Ýkinci El","Kombi (Doðalgaz)","26-30 ",,,0.026434004674129666
291,"Kýzýltoprak Baðdat Caddesi 2. Bina Sýfýr Balkonlu","Feneryolu",6.908485018878649,90,130,"3+1",3,1,2,15,"10-20 ","6","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.07676094465420721
292,"Çiftehavuzlar 18 Mart'a Yakýn 3+1 Yeni Binada Satýlýk Daire","Fenerbahçe",6.944482672150168,105,140,"3+1",3,1,2,22,"10-20 ","2","Ýkinci El","Merkezi Sistem","3",0,0,0.06613793021095399
293,"SAHRAYICEDÝT HÝLTON ARKASINDA SATILIK FIRSAT 3+1 DAÝRE","Sahrayý Cedit",6.763427993562937,90,120,"3+1",3,1,2,25,"10-20 ","7","Sýfýr","Merkezi Sistem","4",350,,0.07514919992847707
294,"BAÐDAT CADDESÝ PARALELÝNDE GENÇ BÝNADA 3+1 BAKIMLI DAÝRE","Erenköy",6.995635194597549,100,128,"3+1",3,1,2,30,"9","2",,"Merkezi Sistem","6-10 ",,,0.06995635194597549
295,"ÞAÞKINBAKKAL KIZILKAYALAR ARKASI 2+1 KONUT VE ÝÞYERÝNE UYGUN","Suadiye",6.755493728415119,80,100,"2+1",2,1,2,36,"4","Kot 2","Ýkinci El","Kombi (Doðalgaz)","31-35 ",,,0.08444367160518898
296,"Fenerbahçe'de Sütiþe Kahve Dünyasýna Yakýn Teraslý Dubleks","Fenerbahçe",7.146128035678237,190,230,"5+1",5,1,2,7,"8","8","Ýkinci El","Kombi (Doðalgaz)","4",0,0,0.0376112001877802
297,"LANSMANA ÖZEL! GÖZTEPE ÇEMENZAR'DA ÝNÞAATTAN SATILIK 3+1 DAÝRE","Merdivenköy",6.781755374652469,85,115,"3+1",3,1,1,,"8","5","Yapým Aþamasýnda","Kombi (Doðalgaz)","0",0,0,0.07978535734885257
298,"SATILIK GÖZTEPE DENÝZCÝLER RECÝDENCE 3+1","Göztepe",6.991226075692494,115,150,"3+1",3,1,2,16,"10-20 ","5","Ýkinci El","Merkezi Sistem","11-15 ",,,0.06079327022341299
299,"GÖZTEPE CADDE PARALELÝ YENÝ BÝNADA 3+1 SATILIK DAÝRE","Göztepe",6.886490725172481,90,120,"3+1",3,1,2,32,"10","6","Sýfýr","Klima","0",0,0,0.07651656361302757
300,"ACIBADEM SÝTESÝNDE 6+1 DUBLEX DAÝRE","Acýbadem",6.886490725172481,170,195,"6+1",6,1,3,28,"3","3",,"Merkezi Sistem","26-30 ",900,0,0.04050876897160283
301,"CENTURY 21.SAHRA'DAN MÝN.CADDESÝ ÜZERÝNDE ÝÇÝ YAPILI 3+1","Bostancý",6.774516965728549,110,140,"3+1",3,1,2,20,"8","7",,"Merkezi Sistem","26-30 ",0,0,0.06158651787025954
302,"CENTURY 21.SAHRA'DAN E5 ÝLE MÝNÝBÜS ARASINDA ÝÇÝ YAPIL 3+1 130M2","Bostancý",6.59659709562646,130,145,"3+1",3,1,2,20,"7","2",,"Kombi (Doðalgaz)","21-25 ",0,0,0.050743054581742
303,"Ziverbey Minibüs Yoluna Cephe 4+2 230 m2 geniþ daire","Feneryolu",6.860338006570993,170,230,"4+2",4,2,1,31,"8","2",,"Merkezi Sistem","16-20 ",0,0,0.040354929450417604
304,"MERDÝVENKÖY DE SATILIK ARA KAT DAÝRE!!","Merdivenköy",6.473486970064568,110,130,"3+1",3,1,1,24,"6","1",,"Merkezi Sistem","26-30 ",0,0,0.058849881546041524
305,"CENTURY 21.SAHRA'DAN ÞENESENEVLER'DE ÝÇÝ YAPILI 3+1","Bostancý",6.648360010980931,110,135,"3+1",3,1,1,17,"7","3",,"Klima","26-30 ",0,0,0.06043963646346301
306,"SUADÝYE SAHÝLE 2 ADIM MESAFEDE 130M2 AYRICA 100M2 BAHÇELÝ LÜKS","Suadiye",6.9661417327390325,100,130,"3+1",3,1,2,16,"3",,"Ýkinci El","Merkezi Sistem","36-40 ",,,0.06966141732739033
307,"Caddebostan M.Reþitbelgesay sokak arsa payý yüksek þömineli 4+1","Caddebostan",6.977723605288847,135,165,"4+1",4,1,2,27,"4","4","Ýkinci El","Klima","31-35 ",400,12,0.051686841520658125
308,"BOSTANCI ÞENESENEVLER'DE MÝNÝBÜSE ve METROYA YAKIN 2+1YENÝ DAÝRE","Bostancý",6.694605198933568,72,90,"2+1",2,1,1,35,"9","2","Yapým Aþamasýnda","Merkezi Sistem","0",,18,0.09298062776296623
309,"Suadiye Yüzme Havuzlu Yatýrýmlý Binada 4+1 Masrafsýz Daire","Suadiye",7.16879202031418,160,200,"4+1",4,1,2,26,"10","2","Ýkinci El","Merkezi Sistem","31-35 ",0,0,0.04480495012696363
310,"C.BOSTAN SAHÝLDE YENÝ KAPANMAZ DENÝZ MANZARALI TERASLI DUBLEKS","Caddebostan",7.393575203269587,253,330,"5+2",5,2,3,28,"10-20 ","12","Ýkinci El","Merkezi Sistem","4",,,0.029223617404227617
311,"NAUTILUS AVM KARÞISI GÝRÝÞKAT ÝÇERÝSÝ YAPILI 2+1 95m² DAÝRE","Koþuyolu",6.511883360978874,90,95,"2+1",2,1,1,22,"4","Yüksek Giriþ",,"Kombi (Doðalgaz)","21-25 ",150,0,0.07235425956643193
312,"FENERYOLUN'DA MARMARAYA YAKIN 115 M2 3+1 BAHÇE KATI ÝÇÝ YAPILI Y","Feneryolu",6.430558769522757,95,115,"3+1",3,1,1,17,"3","Bahçe katý","Ýkinci El","Kombi (Doðalgaz)","36-40 ",0,0,0.06769009231076586
313,"KADIKÖY'DE SATILIK 2+1 DAÝRE","Rasimpaþa",6.3979400086720375,80,85,"2+1",2,1,1,15,,"1","Ýkinci El","Kombi (Doðalgaz)","31-35 ",,,0.07997425010840047
314,"GÖZTEPE ÖZGÜRLÜK PARKINA YAKIN KÝRACILI 3+1 KOMBÝLÝ DAÝRE.","Göztepe",6.556302500767286,110,125,"3+1",3,1,1,11,"4","3","Ýkinci El","Kombi (Doðalgaz)","40 ",50,,0.059602750006975326
315,"Fenerbahçe Dalyan Yüzme Havuzlu Güvenlikli Teraslý Dubleks","Fenerbahçe",7.255272505103306,180,220,"4+1",4,1,2,8,"7","7","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.04030706947279614
316,"Fenerbahçe Cemiltopuzlu Dalyan Denize Yakýn Satýlýk","Fenerbahçe",6.949390006644912,98,130,"2+1",2,1,1,4,"7","1","Ýkinci El","Kombi (Doðalgaz)","4",0,0,0.07091214292494809
317,"ERENKÖY BAÐDATA YAKIN SIFIR 160M2 MANZARALI GÜVENLÝKLÝ BALKONLU","Erenköy",7.079181246047624,124,160,"3+1",3,1,2,27,"10-20 ","12","Sýfýr","Merkezi Sistem","0",,,0.05709017133909374
318,"ÞAÞKINBAKKAL SAHÝLDE DENÝZ KENARI 170 M2 DAÝRE","Caddebostan",6.903089986991943,145,170,"3+1",3,1,2,,"3","1","Ýkinci El","Merkezi Sistem","31-35 ",,,0.04760751715166857
319,"BOSTANCI SAHÝLÝNDE KESÝNTÝSÝZ LEBÝDERYA MANZARALI 330 M2 DAÝRE","Bostancý",7.322219294733918,281,330,"6+1",6,1,2,,"7","6","Ýkinci El","Merkezi Sistem","26-30 ",1.3,,0.026057719910085115
320,"ÞAÞKIN BAKKAL SAHÝLDE KATTA TEK SIFIR NET 94 m2 SATILIK 2+1!!","Caddebostan",6.872156272748292,94,130,"2+1",2,1,2,11,"10-20 ","1","Yapým Aþamasýnda","Kombi (Doðalgaz)","0",,,0.07310804545476907
321,"MERDÝVENKÖY DE SATILIK ARA KAT DAÝRE!!","Merdivenköy",6.473486970064568,110,130,"3+1",3,1,1,24,"6","1","Ýkinci El","Merkezi Sistem","26-30 ",0,0,0.058849881546041524
322,"SUADÝYE KAZIM ÖZALP SOKAKTA, SAHÝLE 100 METRE SATILIK 3+1 ARAKAT","Suadiye",7.2430380486862935,175,200,"3+1",3,1,2,35,"3","1",,"Klima","21-25 ",0,0,0.04138878884963596
323,"Suadiye Baðdat Caddesine Yakýn Balkonlu 3+1 Sýfýr Daire","Suadiye",7.021189299069937,117,145,"3+1",3,1,2,21,"8","6","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.06001016494931571
324,"Ç.HAVUZLAR BAÐDATA YAKIN 4 YILLIK 150M2 LÜKS","Göztepe",6.995635194597549,117,150,"3+1",3,1,2,21,"10","1","Ýkinci El","Kombi (Doðalgaz)","4",,,0.05979175379997905
325,"ERENKÖY MARMARAYA YAKIN SIFIR 125M2 ULTRA LÜKS","Erenköy",6.774516965728549,90,125,"3+1",3,1,2,27,"9","Yüksek Giriþ","Sýfýr","Merkezi Sistem","3",,,0.07527241073031721
326,"ALKAYA- SUADÝYE ÞAÞKINDA SATILIK 105M² NET 3+1 BALKONLU DAÝRE","Suadiye",6.56702636615906,105,130,"3+1",3,1,2,21,"5","2",,"Kombi (Doðalgaz)","31-35 ",0,0,0.06254310824913391
327,"GÖZTEPE'DE 4 YILLIK 125M2 FERAH ÖNÜ AÇIK LÜKS DAÝRE","Göztepe",6.822821645303104,90,125,"3+1",3,1,1,18,"10","9","Ýkinci El","Merkezi Sistem","4",,,0.0758091293922567
328,"Fenerbahçe Dalyan Lebiderya Manzaralý Dubleks Daire","Fenerbahçe",7.34143452457814,197,260,"4+2",4,2,3,12,"10-20 ","13","Ýkinci El","Merkezi Sistem","2",0,0,0.03726616509938142
329,"GÖZTEPE PARK APARTMANINDA 180 M2 SATILIK DAÝRE P100852","Göztepe",6.984527313343791,150,180,"4+1",4,1,2,17,"10-20 ","8","Ýkinci El","Kombi (Doðalgaz)","21-25 ",0,0,0.04656351542229194
330,"ALKAYA YETKÝLÝ -SUADÝYE'DE BAÐDAT'A ÇOK YAKIN 2+1 SATILIK DAÝRE","Suadiye",6.707570176097936,70,90,"2+1",2,1,2,17,"8","2","Sýfýr","Kombi (Doðalgaz)","3",,15,0.09582243108711337
331,"ACIBADEM CAD.1.PARALEL 2.BÝNA TUR SK 2+185m²ARAKAT GÜNEY DAÝRE","Acýbadem",6.5314789170422545,80,85,"2+1",2,1,1,30,"4","2",,"Kombi (Doðalgaz)","31-35 ",100,0,0.08164348646302819
332,"AKAY DAN ACIBADEM CAD.100mMESAFEDE YAPILI 2+1 75m²Y.GÝRÝÞ DAÝRE","Acýbadem",6.389166084364532,70,75,"2+1",2,1,1,21,"4","Yüksek Giriþ",,"Kombi (Doðalgaz)","26-30 ",50,0,0.0912738012052076
333,"ACIBADEM ÝÞBANKASI BLOKLARINDA cad.üzeri 1+1 79m²ÞAHANE KONUM","Acýbadem",6.579783596616809,70,79,"1+1",1,1,1,7,"4","Yüksek Giriþ",,"Merkezi Sistem","16-20 ",365,0,0.09399690852309728
334,"Fenerbahçe Ordu Evine 4. Bina Balkonlu Prestijli Bina","Fenerbahçe",7.1760912590556805,120,160,"3+1",3,1,2,21,"10-20 ","7","Ýkinci El","Merkezi Sistem","4",0,0,0.05980076049213067
335,"Þ.BAKKAL BAÐDATA 2. BÝNADA 100M2 BALKONLU KOMBÝLÝ LÜKS","Suadiye",6.755493728415119,80,100,"2+1",2,1,2,22,"4","2","Ýkinci El","Kombi (Doðalgaz)","40 ",,,0.08444367160518898
336,"Kýzýltoprakta Katta Tek 4+1 Kobili Daire","Zühtüpaþa",6.991226075692494,128,175,"4+1",4,1,2,16,"9","8","Ýkinci El","Kombi (Doðalgaz)","6-10 ",0,0,0.05461895371634761
337,"FENERYOLU ÖZGÜRLÜK PARKINA YÜRÜME MESAFESÝNDE 3+1 SATILIK DAÝRE","Feneryolu",6.736396502276642,120,140,"3+1",3,1,2,21,,,,,,,,0.056136637518972014
338,"Caddebostan Sahil Göztepe Parkýna Plaj Yoluna Yakýn 3+1","Caddebostan",6.973127853599698,100,130,"3+1",3,1,2,13,"8","3","Ýkinci El","Kombi (Doðalgaz)","3",0,0,0.06973127853599698
339,"Hasanpaþa'da Kadýköy Merkeze Yakýn 2+1 Satýlýk Daire","Hasanpaþa",6.3802112417116055,75,95,"2+1",2,1,1,21,"2","2","Ýkinci El","Kombi (Doðalgaz)","31-35 ",0,0,0.0850694832228214
340,"Feneryolu Kombili Balkonlu 3+1 Satýlýk Daire","Feneryolu",6.694605198933568,110,135,"3+1",3,1,1,7,"8","3","Ýkinci El","Kombi (Doðalgaz)","21-25 ",0,0,0.060860047263032443
341,"Feneryolu Kamelya Marmaray Ýstasyonuna Yakýn Balkonlu Yenilenmiþ","Feneryolu",6.816241299991782,128,160,"4+1",4,1,2,22,"10-20 ","9","Ýkinci El","Merkezi Sistem","26-30 ",0,0,0.0532518851561858
342,"ACIBADEM DÖRTYOLDA MARMARAYIN YANINDA 2+1 85m²GÝRÝÞKAT DAÝRE","Acýbadem",6.361727836017592,80,85,"2+1",2,1,1,11,"5","Giriþ Katý",,"Kombi (Doðalgaz)","31-35 ",50,0,0.0795215979502199
343,"Kadiköy Baðdad Caddesin'de1+1 Lüks daire ????? ?????? ???? ?????","Fenerbahçe",6.778151250383643,50,55,"1+1",1,1,1,2,"4","3","Sýfýr","Kombi (Doðalgaz)","0",,12,0.13556302500767287
344,"BOSTANCI CÝTY'DE 8.KAT VATANDAÞLIÐA UYGUN 105m2 SATILIK 2+1","Bostancý",6.778151250383643,90,105,"2+1",2,1,1,31,"8","8",,"Kombi (Doðalgaz)","11-15 ",1.12,7,0.07531279167092937
345,"GÖZTEPE HASTANEYE ADIM MESAFEDE 2 BALKONLU KOMBÝLÝ 154M2 3+1","Merdivenköy",6.604226053084469,110,154,"3+1",3,1,2,15,"6","1","Ýkinci El","Kombi (Doðalgaz)","31-35 ",120,0,0.060038418664404264
346,"ERENKÖY'DE DÝNAMÝK'TEN YENÝ BÝNADA 4+1 200 M2 GENÝÞ BALKONLU","Erenköy",6.76715586608218,145,200,"4+1",4,1,2,31,"10-20 ","10",,"Klima","4",0,0,0.04667004045573917
347,"Fenerbahçe Kalamýþ Marina ve Doða Manzaralý Balkonlu 4+1","Fenerbahçe",7.224014811372864,142,190,"4+1",4,1,2,26,"10-20 ","5","Ýkinci El","Merkezi Sistem","3",0,0,0.05087334374206243
348,"ÞAÞKINBAKKAL SAHÝLDE 4 YILLIK DENÝZ MANZARALI LÜKS","Suadiye",7.144574207609616,105,135,"3+1",3,1,2,31,"8","4","Ýkinci El","Kalorifer (Doðalgaz)","4",,,0.06804356388199634
349,"CITY TEK YETKÝLÝ FENERYOLU ÖZGÜRLÜÐE KOMÞU KATTA TEK 168M2 3+1","Feneryolu",6.752048447819438,120,168,"3+1",3,1,2,34,"8","1","Ýkinci El","Klima","26-30 ",0,0,0.056267070398495315
350,"CÝTY'DEN SUADÝYEDE METROYA YAKIN BALKONLU  SIFIR 2+1","Suadiye",6.872156272748292,85,115,"2+1",2,1,2,19,"10-20 ","9","Sýfýr","Merkezi Sistem","0",0,0,0.0808488973264505
351,"CÝTYDEN..ERENKÖY ETHEMEFENDÝDE 155M2 3+1 BALKONLU YENÝ BÝNA","Erenköy",7.041392685158225,115,155,"3+1",3,1,2,15,"7","6","Sýfýr","Kombi (Doðalgaz)","0",0,0,0.06122950161007153
352,"GÖZTEPE HASTANE YAKINI GÜNEY CEPHE ARA KAT YENÝ BÝNA 112M2 3+1","Dumlupýnar",6.685741738602263,80,112,"3+1",3,1,1,25,"8","6","Ýkinci El","Merkezi Sistem","4",125,0,0.08357177173252829
353,"SUADÝYE BAÐDAT CADDESÝ ÜZERÝNDE 130M2 3+1 2.KAT BALKONLU DAÝRE","Bostancý",6.806179973983887,102,130,"3+1",3,1,1,12,"4","2",,"Merkezi Sistem","31-35 ",0,0,0.06672725464690085
354,"CÝTY TEK YETKÝLÝ..KOZYATAÐI SÜMKO SÝTESÝNDE 150M2 3+1 BAKIMLI","19 Mayýs",6.612783856719735,120,150,"3+1",3,1,2,11,"5","4","Ýkinci El","Merkezi Sistem","26-30 ",0,0,0.05510653213933112
